Name,Team,Goals,Position 
Carlos Vela, LAFC, 31, F 
Zlatan Ibrahimovic, LA, 29, F 
Josef Martinez, ATL, 26, F 
Diego Rossi, LAFC, 16, F 
Heber, NYC, 15, F 
Kacper Przybylko, PHI, 15, F 
Chris Wondolowski, SJ, 14, F 
Mauro Manotas, HOU, 13, F 
Gyasi Zardes, CLB, 13, F 
Kei Kamara, COL, 13, F 
Nani, ORL, 12, M 
Felipe Gutiérrez, SKC, 12, M 
Alexandru Mitrita, NYC, 12, F 
CJ Sapong, CHI, 12, F 
Nemanja Nikolic, CHI, 12, F 
Alejandro Pozuelo, TOR, 11, M 
Daniel Royer, RBNY, 11, M 
Wayne Rooney, DC, 11, F-M 
Jozy Altidore, TOR, 11, F 
Pedro Santos, CLB, 11, M 
Valentin Castellanos, NYC, 11, F 
Diego Rubio, COL, 11, F 
Raul Ruidiaz , SEA, 11, F 
Jeremy Ebobisse, POR, 11, F 
Brian Fernandez, POR, 11, F 
