Name,gamesPlayed,Goals,Assists 
Atlanta United, 33, 55, 43 
Chicago Fire, 33, 50, 45 
FC Cincinnati, 33, 31, 26 
Colorado Rapids, 33, 57, 45 
Columbus Crew SC, 33, 39, 36 
FC Dallas, 33, 48, 40 
D.C. United, 33, 42, 32 
Houston Dynamo, 33, 45, 43 
Los Angeles FC, 33, 82, 70 
LA Galaxy, 33, 56, 59 
Minnesota United, 33, 52, 46 
Montreal Impact, 33, 44, 32 
New England Revolution, 33, 49, 50 
New York City FC, 33, 61, 57 
NY Red Bulls, 33, 53, 57 
Orlando City SC, 33, 42, 42 
Philadelphia Union, 33, 57, 59 
Portland Timbers, 33, 49, 50 
Real Salt Lake, 33, 45, 37 
San Jose Earthquakes, 33, 51, 48 
Seattle Sounders FC, 33, 51, 49 
Sporting Kansas City, 33, 49, 42 
Toronto FC, 33, 56, 57 
Vancouver Whitecaps FC, 33, 37, 30 
